"market","ticker","name","cik","yahoo_symbol","xueqiu_symbol","cninfo_plate","rss_urls","notes"
"SZ","300490","华自科技","","300490.SZ","SZ300490","sz","","C38电气机械和器材制造业"
"SZ","300491","通合科技","","300491.SZ","SZ300491","sz","","C38电气机械和器材制造业"
"SZ","300494","盛天网络","","300494.SZ","SZ300494","sz","","I64互联网和相关服务"
"SZ","300496","中科创达","","300496.SZ","SZ300496","sz","","I65软件和信息技术服务业"
"SZ","300502","新易盛","","300502.SZ","SZ300502","sz","","C39计算机、通信和其他电子设备制造业"
"SZ","300503","昊志机电","","300503.SZ","SZ300503","sz","","C34通用设备制造业"
"SZ","300504","天邑股份","","300504.SZ","SZ300504","sz","","C39计算机、通信和其他电子设备制造业"
"SZ","300513","恒实科技","","300513.SZ","SZ300513","sz","","I65软件和信息技术服务业"
"SZ","300515","三德科技","","300515.SZ","SZ300515","sz","","C40仪器仪表制造业"
"SZ","300516","久之洋","","300516.SZ","SZ300516","sz","","C39计算机、通信和其他电子设备制造业"
"SZ","300518","新迅达","","300518.SZ","SZ300518","sz","","I64互联网和相关服务"
"SZ","300520","科大国创","","300520.SZ","SZ300520","sz","","I65软件和信息技术服务业"
"SZ","300523","辰安科技","","300523.SZ","SZ300523","sz","","I65软件和信息技术服务业"
"SZ","300525","博思软件","","300525.SZ","SZ300525","sz","","I65软件和信息技术服务业"
"SZ","300530","领湃科技","","300530.SZ","SZ300530","sz","","C38电气机械和器材制造业"
"SZ","300531","优博讯","","300531.SZ","SZ300531","sz","","C39计算机、通信和其他电子设备制造业"
"SZ","300532","今天国际","","300532.SZ","SZ300532","sz","","I65软件和信息技术服务业"
"SZ","300533","冰川网络","","300533.SZ","SZ300533","sz","","I64互联网和相关服务"
"SZ","300541","先进数通","","300541.SZ","SZ300541","sz","","I65软件和信息技术服务业"
"SZ","300542","新晨科技","","300542.SZ","SZ300542","sz","","I65软件和信息技术服务业"
"SZ","300543","朗科智能","","300543.SZ","SZ300543","sz","","C39计算机、通信和其他电子设备制造业"
"SZ","300546","雄帝科技","","300546.SZ","SZ300546","sz","","C39计算机、通信和其他电子设备制造业"
"SZ","300548","长芯博创","","300548.SZ","SZ300548","sz","","C39计算机、通信和其他电子设备制造业"
"SZ","300550","和仁科技","","300550.SZ","SZ300550","sz","","I65软件和信息技术服务业"
"SZ","300551","古鳌科技","","300551.SZ","SZ300551","sz","","C34通用设备制造业"
"SZ","300552","万集科技","","300552.SZ","SZ300552","sz","","C39计算机、通信和其他电子设备制造业"
"SZ","300556","丝路视觉","","300556.SZ","SZ300556","sz","","I65软件和信息技术服务业"
"SZ","300557","理工光科","","300557.SZ","SZ300557","sz","","C35专用设备制造业"
"SZ","300559","佳发教育","","300559.SZ","SZ300559","sz","","I65软件和信息技术服务业"
"SZ","300560","中富通","","300560.SZ","SZ300560","sz","","I65软件和信息技术服务业"
"SZ","300561","汇金科技","","300561.SZ","SZ300561","sz","","I65软件和信息技术服务业"
"SZ","300563","神宇股份","","300563.SZ","SZ300563","sz","","C39计算机、通信和其他电子设备制造业"
"SZ","300565","科信技术","","300565.SZ","SZ300565","sz","","C39计算机、通信和其他电子设备制造业"
"SZ","300566","激智科技","","300566.SZ","SZ300566","sz","","C39计算机、通信和其他电子设备制造业"
"SZ","300567","精测电子","","300567.SZ","SZ300567","sz","","C40仪器仪表制造业"
"SZ","300570","太辰光","","300570.SZ","SZ300570","sz","","C39计算机、通信和其他电子设备制造业"
"SZ","300571","平治信息","","300571.SZ","SZ300571","sz","","C39计算机、通信和其他电子设备制造业"
"SZ","300576","容大感光","","300576.SZ","SZ300576","sz","","C39计算机、通信和其他电子设备制造业"
"SZ","300578","会畅科技","","300578.SZ","SZ300578","sz","","I65软件和信息技术服务业"
"SZ","300579","数字认证","","300579.SZ","SZ300579","sz","","I65软件和信息技术服务业"
"SZ","300581","晨曦航空","","300581.SZ","SZ300581","sz","","C39计算机、通信和其他电子设备制造业"
"SZ","300582","英飞特","","300582.SZ","SZ300582","sz","","C39计算机、通信和其他电子设备制造业"
"SZ","300588","熙菱信息","","300588.SZ","SZ300588","sz","","I65软件和信息技术服务业"
"SZ","300590","移为通信","","300590.SZ","SZ300590","sz","","C39计算机、通信和其他电子设备制造业"
"SZ","300597","吉大通信","","300597.SZ","SZ300597","sz","","I65软件和信息技术服务业"
"SZ","300598","诚迈科技","","300598.SZ","SZ300598","sz","","I65软件和信息技术服务业"
"SZ","300602","飞荣达","","300602.SZ","SZ300602","sz","","C39计算机、通信和其他电子设备制造业"
"SZ","300603","立昂技术","","300603.SZ","SZ300603","sz","","I65软件和信息技术服务业"
"SZ","300604","长川科技","","300604.SZ","SZ300604","sz","","C35专用设备制造业"
"SZ","300605","恒锋信息","","300605.SZ","SZ300605","sz","","I65软件和信息技术服务业"
"SZ","300608","思特奇","","300608.SZ","SZ300608","sz","","I65软件和信息技术服务业"
"SZ","300609","汇纳科技","","300609.SZ","SZ300609","sz","","I65软件和信息技术服务业"
"SZ","300613","富瀚微","","300613.SZ","SZ300613","sz","","I65软件和信息技术服务业"
"SZ","300615","欣天科技","","300615.SZ","SZ300615","sz","","C39计算机、通信和其他电子设备制造业"
"SZ","300617","安靠智电","","300617.SZ","SZ300617","sz","","C38电气机械和器材制造业"
"SZ","300620","光库科技","","300620.SZ","SZ300620","sz","","C39计算机、通信和其他电子设备制造业"
"SZ","300623","捷捷微电","","300623.SZ","SZ300623","sz","","C39计算机、通信和其他电子设备制造业"
"SZ","300624","万兴科技","","300624.SZ","SZ300624","sz","","I65软件和信息技术服务业"
"SZ","300625","三雄极光","","300625.SZ","SZ300625","sz","","C38电气机械和器材制造业"
"SZ","300627","华测导航","","300627.SZ","SZ300627","sz","","C39计算机、通信和其他电子设备制造业"
"SZ","300628","亿联网络","","300628.SZ","SZ300628","sz","","C39计算机、通信和其他电子设备制造业"
"SZ","300629","新劲刚","","300629.SZ","SZ300629","sz","","C39计算机、通信和其他电子设备制造业"
"SZ","300632","光莆股份","","300632.SZ","SZ300632","sz","","C38电气机械和器材制造业"
"SZ","300634","彩讯股份","","300634.SZ","SZ300634","sz","","I65软件和信息技术服务业"
"SZ","300638","广和通","","300638.SZ","SZ300638","sz","","C39计算机、通信和其他电子设备制造业"
"SZ","300645","正元智慧","","300645.SZ","SZ300645","sz","","I65软件和信息技术服务业"
"SZ","300647","超频三","","300647.SZ","SZ300647","sz","","C39计算机、通信和其他电子设备制造业"
"SZ","300648","星云股份","","300648.SZ","SZ300648","sz","","C35专用设备制造业"
"SZ","300656","民德电子","","300656.SZ","SZ300656","sz","","C39计算机、通信和其他电子设备制造业"
"SZ","300657","弘信电子","","300657.SZ","SZ300657","sz","","C39计算机、通信和其他电子设备制造业"
"SZ","300659","中孚信息","","300659.SZ","SZ300659","sz","","I65软件和信息技术服务业"
"SZ","300661","圣邦股份","","300661.SZ","SZ300661","sz","","C39计算机、通信和其他电子设备制造业"
"SZ","300663","科蓝软件","","300663.SZ","SZ300663","sz","","I65软件和信息技术服务业"
"SZ","300666","江丰电子","","300666.SZ","SZ300666","sz","","C39计算机、通信和其他电子设备制造业"
"SZ","300667","必创科技","","300667.SZ","SZ300667","sz","","C40仪器仪表制造业"
"SZ","300670","大烨智能","","300670.SZ","SZ300670","sz","","C38电气机械和器材制造业"
"SZ","300671","富满微","","300671.SZ","SZ300671","sz","","I65软件和信息技术服务业"
"SZ","300672","国科微","","300672.SZ","SZ300672","sz","","C39计算机、通信和其他电子设备制造业"
"SZ","300674","宇信科技","","300674.SZ","SZ300674","sz","","I65软件和信息技术服务业"
"SZ","300678","中科信息","","300678.SZ","SZ300678","sz","","I65软件和信息技术服务业"
"SZ","300679","电连技术","","300679.SZ","SZ300679","sz","","C39计算机、通信和其他电子设备制造业"
"SZ","300682","朗新科技","","300682.SZ","SZ300682","sz","","I65软件和信息技术服务业"
"SZ","300684","中石科技","","300684.SZ","SZ300684","sz","","C39计算机、通信和其他电子设备制造业"
"SZ","300686","智动力","","300686.SZ","SZ300686","sz","","C39计算机、通信和其他电子设备制造业"
"SZ","300687","赛意信息","","300687.SZ","SZ300687","sz","","I65软件和信息技术服务业"
"SZ","300689","澄天伟业","","300689.SZ","SZ300689","sz","","C39计算机、通信和其他电子设备制造业"
"SZ","300691","联合光电","","300691.SZ","SZ300691","sz","","C39计算机、通信和其他电子设备制造业"
"SZ","300698","万马科技","","300698.SZ","SZ300698","sz","","C39计算机、通信和其他电子设备制造业"
"SZ","300701","森霸传感","","300701.SZ","SZ300701","sz","","C39计算机、通信和其他电子设备制造业"
"SZ","300706","阿石创","","300706.SZ","SZ300706","sz","","C39计算机、通信和其他电子设备制造业"
"SZ","300708","聚灿光电","","300708.SZ","SZ300708","sz","","C39计算机、通信和其他电子设备制造业"
"SZ","300709","精研科技","","300709.SZ","SZ300709","sz","","C39计算机、通信和其他电子设备制造业"
"SZ","300710","万隆光电","","300710.SZ","SZ300710","sz","","C39计算机、通信和其他电子设备制造业"
"SZ","300711","广哈通信","","300711.SZ","SZ300711","sz","","C39计算机、通信和其他电子设备制造业"
"SZ","300720","海川智能","","300720.SZ","SZ300720","sz","","C40仪器仪表制造业"
"SZ","300726","宏达电子","","300726.SZ","SZ300726","sz","","C39计算机、通信和其他电子设备制造业"
"SZ","300730","科创信息","","300730.SZ","SZ300730","sz","","I65软件和信息技术服务业"
"SZ","300735","光弘科技","","300735.SZ","SZ300735","sz","","C39计算机、通信和其他电子设备制造业"
"SZ","300738","奥飞数据","","300738.SZ","SZ300738","sz","","I65软件和信息技术服务业"
"SZ","300739","明阳电路","","300739.SZ","SZ300739","sz","","C39计算机、通信和其他电子设备制造业"
"SZ","300743","天地数码","","300743.SZ","SZ300743","sz","","C39计算机、通信和其他电子设备制造业"
"SZ","300747","锐科激光","","300747.SZ","SZ300747","sz","","C39计算机、通信和其他电子设备制造业"
"SZ","300752","隆利科技","","300752.SZ","SZ300752","sz","","C39计算机、通信和其他电子设备制造业"
"SZ","300762","上海瀚讯","","300762.SZ","SZ300762","sz","","C39计算机、通信和其他电子设备制造业"
"SZ","300763","锦浪科技","","300763.SZ","SZ300763","sz","","C38电气机械和器材制造业"
"SZ","300766","每日互动","","300766.SZ","SZ300766","sz","","I64互联网和相关服务"
"SZ","300768","迪普科技","","300768.SZ","SZ300768","sz","","I65软件和信息技术服务业"
