"market","ticker","name","cik","yahoo_symbol","xueqiu_symbol","cninfo_plate","rss_urls","notes"
"SZ","300503","昊志机电","","300503.SZ","SZ300503","sz","","C34通用设备制造业; avg20_amount=2429787034; last_amount=3601267414"
"SH","600353","旭光电子","","600353.SS","SH600353","sh","","C39计算机、通信和其他电子设备制造业; avg20_amount=2386412037; last_amount=1835154495"
"SZ","300316","晶盛机电","","300316.SZ","SZ300316","sz","","C35专用设备制造业; avg20_amount=2302457045; last_amount=2810172118"
"SZ","300903","科翔股份","","300903.SZ","SZ300903","sz","","C39计算机、通信和其他电子设备制造业; avg20_amount=2287381540; last_amount=1884187250"
"SZ","300489","光智科技","","300489.SZ","SZ300489","sz","","C39计算机、通信和其他电子设备制造业; avg20_amount=2256975454; last_amount=2959162306"
"SH","600563","法拉电子","","600563.SS","SH600563","sh","","C39计算机、通信和其他电子设备制造业; avg20_amount=2227167770; last_amount=1897115664"
"SZ","301358","湖南裕能","","301358.SZ","SZ301358","sz","","C39计算机、通信和其他电子设备制造业; avg20_amount=2210681530; last_amount=1931340677"
"SZ","300726","宏达电子","","300726.SZ","SZ300726","sz","","C39计算机、通信和其他电子设备制造业; avg20_amount=2180683143; last_amount=1469172401"
"SZ","301171","易点天下","","301171.SZ","SZ301171","sz","","I64互联网和相关服务; avg20_amount=2066904547; last_amount=3394357643"
"SH","600875","东方电气","","600875.SS","SH600875","sh","","C34通用设备制造业; avg20_amount=2023865164; last_amount=1551476923"
"SZ","300042","朗科科技","","300042.SZ","SZ300042","sz","","C39计算机、通信和其他电子设备制造业; avg20_amount=2010381097; last_amount=2064229554"
"SZ","300706","阿石创","","300706.SZ","SZ300706","sz","","C39计算机、通信和其他电子设备制造业; avg20_amount=2006246823; last_amount=1739593867"
"SZ","301236","软通动力","","301236.SZ","SZ301236","sz","","I65软件和信息技术服务业; avg20_amount=1978450505; last_amount=2275502634"
"SZ","300077","国民技术","","300077.SZ","SZ300077","sz","","C39计算机、通信和其他电子设备制造业; avg20_amount=1965167630; last_amount=3309654819"
"SZ","300236","上海新阳","","300236.SZ","SZ300236","sz","","C39计算机、通信和其他电子设备制造业; avg20_amount=1962455819; last_amount=2295472695"
"SZ","300263","隆华科技","","300263.SZ","SZ300263","sz","","C34通用设备制造业; avg20_amount=1957847694; last_amount=2410603921"
"SZ","300870","欧陆通","","300870.SZ","SZ300870","sz","","C39计算机、通信和其他电子设备制造业; avg20_amount=1953079448; last_amount=1832150011"
"SZ","300769","德方纳米","","300769.SZ","SZ300769","sz","","C39计算机、通信和其他电子设备制造业; avg20_amount=1941694611; last_amount=1375277659"
"SZ","300623","捷捷微电","","300623.SZ","SZ300623","sz","","C39计算机、通信和其他电子设备制造业; avg20_amount=1938023408; last_amount=1925572970"
"SZ","301269","华大九天","","301269.SZ","SZ301269","sz","","I65软件和信息技术服务业; avg20_amount=1856811749; last_amount=2078224825"
"SZ","300762","上海瀚讯","","300762.SZ","SZ300762","sz","","C39计算机、通信和其他电子设备制造业; avg20_amount=1840039612; last_amount=1848476550"
"SZ","300814","中富电路","","300814.SZ","SZ300814","sz","","C39计算机、通信和其他电子设备制造业; avg20_amount=1839420088; last_amount=1335188218"
"SZ","301319","唯特偶","","301319.SZ","SZ301319","sz","","C39计算机、通信和其他电子设备制造业; avg20_amount=1822511942; last_amount=1960134597"
"SZ","300166","东方国信","","300166.SZ","SZ300166","sz","","I65软件和信息技术服务业; avg20_amount=1786548405; last_amount=2058951154"
"SZ","300458","全志科技","","300458.SZ","SZ300458","sz","","C39计算机、通信和其他电子设备制造业; avg20_amount=1761671053; last_amount=2157141690"
"SZ","300576","容大感光","","300576.SZ","SZ300576","sz","","C39计算机、通信和其他电子设备制造业; avg20_amount=1738035470; last_amount=1617403592"
"SZ","301123","奕东电子","","301123.SZ","SZ301123","sz","","C39计算机、通信和其他电子设备制造业; avg20_amount=1736308316; last_amount=1016318551"
"SZ","300017","网宿科技","","300017.SZ","SZ300017","sz","","I65软件和信息技术服务业; avg20_amount=1728679548; last_amount=1419383537"
"SZ","300679","电连技术","","300679.SZ","SZ300679","sz","","C39计算机、通信和其他电子设备制造业; avg20_amount=1716322902; last_amount=2148939965"
"SZ","301183","东田微","","301183.SZ","SZ301183","sz","","C39计算机、通信和其他电子设备制造业; avg20_amount=1705519147; last_amount=1302827752"
