"market","ticker","name","cik","yahoo_symbol","xueqiu_symbol","cninfo_plate","rss_urls","notes"
"SH","601696","中银证券","","601696.SS","SH601696","sh","","J67资本市场服务; index_source=zz500; index_update=2026-06-29"
"SH","601699","潞安环能","","601699.SS","SH601699","sh","","B06煤炭开采和洗选业; index_source=zz500; index_update=2026-06-29"
"SH","601717","中创智领","","601717.SS","SH601717","sh","","C35专用设备制造业; index_source=zz500; index_update=2026-06-29"
"SH","601799","星宇股份","","601799.SS","SH601799","sh","","C36汽车制造业; index_source=zz500; index_update=2026-06-29"
"SH","601808","中海油服","","601808.SS","SH601808","sh","","B11开采专业及辅助性活动; index_source=zz500; index_update=2026-06-29"
"SH","601865","福莱特","","601865.SS","SH601865","sh","","C30非金属矿物制品业; index_source=zz500; index_update=2026-06-29"
"SH","601866","中远海发","","601866.SS","SH601866","sh","","G55水上运输业; index_source=zz500; index_update=2026-06-29"
"SH","601869","长飞光纤","","601869.SS","SH601869","sh","","C39计算机、通信和其他电子设备制造业; index_source=zz500; index_update=2026-06-29"
"SH","601880","辽港股份","","601880.SS","SH601880","sh","","G55水上运输业; index_source=zz500; index_update=2026-06-29"
"SH","601928","凤凰传媒","","601928.SS","SH601928","sh","","R86新闻和出版业; index_source=zz500; index_update=2026-06-29"
"SH","601958","金钼股份","","601958.SS","SH601958","sh","","B09有色金属矿采选业; index_source=zz500; index_update=2026-06-29"
"SH","601966","玲珑轮胎","","601966.SS","SH601966","sh","","C29橡胶和塑料制品业; index_source=zz500; index_update=2026-06-29"
"SH","601990","南京证券","","601990.SS","SH601990","sh","","J67资本市场服务; index_source=zz500; index_update=2026-06-29"
"SH","601991","大唐发电","","601991.SS","SH601991","sh","","D44电力、热力生产和供应业; index_source=zz500; index_update=2026-06-29"
"SH","601997","贵阳银行","","601997.SS","SH601997","sh","","J66货币金融服务; index_source=zz500; index_update=2026-06-29"
"SH","603000","人民网","","603000.SS","SH603000","sh","","I64互联网和相关服务; index_source=zz500; index_update=2026-06-29"
"SH","603049","中策橡胶","","603049.SS","SH603049","sh","","C29橡胶和塑料制品业; index_source=zz500; index_update=2026-06-29"
"SH","603077","和邦生物","","603077.SS","SH603077","sh","","C26化学原料和化学制品制造业; index_source=zz500; index_update=2026-06-29"
"SH","603087","甘李药业","","603087.SS","SH603087","sh","","C27医药制造业; index_source=zz500; index_update=2026-06-29"
"SH","603092","德力佳","","603092.SS","SH603092","sh","","C34通用设备制造业; index_source=zz500; index_update=2026-06-29"
"SH","603119","浙江荣泰","","603119.SS","SH603119","sh","","C30非金属矿物制品业; index_source=zz500; index_update=2026-06-29"
"SH","603129","春风动力","","603129.SS","SH603129","sh","","C37铁路、船舶、航空航天和其他运输设备制造业; index_source=zz500; index_update=2026-06-29"
"SH","603156","养元饮品","","603156.SS","SH603156","sh","","C15酒、饮料和精制茶制造业; index_source=zz500; index_update=2026-06-29"
"SH","603160","汇顶科技","","603160.SS","SH603160","sh","","C39计算机、通信和其他电子设备制造业; index_source=zz500; index_update=2026-06-29"
"SH","603175","超颖电子","","603175.SS","SH603175","sh","","C39计算机、通信和其他电子设备制造业; index_source=zz500; index_update=2026-06-29"
"SH","603179","新泉股份","","603179.SS","SH603179","sh","","C36汽车制造业; index_source=zz500; index_update=2026-06-29"
"SH","603225","新凤鸣","","603225.SS","SH603225","sh","","C28化学纤维制造业; index_source=zz500; index_update=2026-06-29"
"SH","603233","大参林","","603233.SS","SH603233","sh","","F52零售业; index_source=zz500; index_update=2026-06-29"
"SH","603256","宏和科技","","603256.SS","SH603256","sh","","C30非金属矿物制品业; index_source=zz500; index_update=2026-06-29"
"SH","603290","斯达半导","","603290.SS","SH603290","sh","","C39计算机、通信和其他电子设备制造业; index_source=zz500; index_update=2026-06-29"
"SH","603298","杭叉集团","","603298.SS","SH603298","sh","","C34通用设备制造业; index_source=zz500; index_update=2026-06-29"
"SH","603308","应流股份","","603308.SS","SH603308","sh","","C34通用设备制造业; index_source=zz500; index_update=2026-06-29"
"SH","603338","浙江鼎力","","603338.SS","SH603338","sh","","C35专用设备制造业; index_source=zz500; index_update=2026-06-29"
"SH","603341","龙旗科技","","603341.SS","SH603341","sh","","C39计算机、通信和其他电子设备制造业; index_source=zz500; index_update=2026-06-29"
"SH","603345","安井食品","","603345.SS","SH603345","sh","","C13农副食品加工业; index_source=zz500; index_update=2026-06-29"
"SH","603379","三美股份","","603379.SS","SH603379","sh","","C26化学原料和化学制品制造业; index_source=zz500; index_update=2026-06-29"
"SH","603444","吉比特","","603444.SS","SH603444","sh","","I64互联网和相关服务; index_source=zz500; index_update=2026-06-29"
"SH","603486","科沃斯","","603486.SS","SH603486","sh","","C39计算机、通信和其他电子设备制造业; index_source=zz500; index_update=2026-06-29"
"SH","603529","爱玛科技","","603529.SS","SH603529","sh","","C37铁路、船舶、航空航天和其他运输设备制造业; index_source=zz500; index_update=2026-06-29"
"SH","603565","中谷物流","","603565.SS","SH603565","sh","","G55水上运输业; index_source=zz500; index_update=2026-06-29"
"SH","603568","伟明环保","","603568.SS","SH603568","sh","","N77生态保护和环境治理业; index_source=zz500; index_update=2026-06-29"
"SH","603589","口子窖","","603589.SS","SH603589","sh","","C15酒、饮料和精制茶制造业; index_source=zz500; index_update=2026-06-29"
"SH","603596","伯特利","","603596.SS","SH603596","sh","","C36汽车制造业; index_source=zz500; index_update=2026-06-29"
"SH","603605","珀莱雅","","603605.SS","SH603605","sh","","C26化学原料和化学制品制造业; index_source=zz500; index_update=2026-06-29"
"SH","603606","东方电缆","","603606.SS","SH603606","sh","","C38电气机械和器材制造业; index_source=zz500; index_update=2026-06-29"
"SH","603650","彤程新材","","603650.SS","SH603650","sh","","C26化学原料和化学制品制造业; index_source=zz500; index_update=2026-06-29"
"SH","603658","安图生物","","603658.SS","SH603658","sh","","C27医药制造业; index_source=zz500; index_update=2026-06-29"
"SH","603659","璞泰来","","603659.SS","SH603659","sh","","C39计算机、通信和其他电子设备制造业; index_source=zz500; index_update=2026-06-29"
"SH","603688","石英股份","","603688.SS","SH603688","sh","","C30非金属矿物制品业; index_source=zz500; index_update=2026-06-29"
"SH","603699","纽威股份","","603699.SS","SH603699","sh","","C34通用设备制造业; index_source=zz500; index_update=2026-06-29"
"SH","603728","鸣志电器","","603728.SS","SH603728","sh","","C38电气机械和器材制造业; index_source=zz500; index_update=2026-06-29"
"SH","603737","三棵树","","603737.SS","SH603737","sh","","C26化学原料和化学制品制造业; index_source=zz500; index_update=2026-06-29"
"SH","603766","隆鑫通用","","603766.SS","SH603766","sh","","C37铁路、船舶、航空航天和其他运输设备制造业; index_source=zz500; index_update=2026-06-29"
"SH","603786","科博达","","603786.SS","SH603786","sh","","C36汽车制造业; index_source=zz500; index_update=2026-06-29"
"SH","603806","福斯特","","603806.SS","SH603806","sh","","C29橡胶和塑料制品业; index_source=zz500; index_update=2026-06-29"
"SH","603816","顾家家居","","603816.SS","SH603816","sh","","C21家具制造业; index_source=zz500; index_update=2026-06-29"
"SH","603833","欧派家居","","603833.SS","SH603833","sh","","C21家具制造业; index_source=zz500; index_update=2026-06-29"
"SH","603858","步长制药","","603858.SS","SH603858","sh","","C27医药制造业; index_source=zz500; index_update=2026-06-29"
"SH","603885","吉祥航空","","603885.SS","SH603885","sh","","G56航空运输业; index_source=zz500; index_update=2026-06-29"
"SH","603899","晨光股份","","603899.SS","SH603899","sh","","C24文教、工美、体育和娱乐用品制造业; index_source=zz500; index_update=2026-06-29"
"SH","603920","世运电路","","603920.SS","SH603920","sh","","C39计算机、通信和其他电子设备制造业; index_source=zz500; index_update=2026-06-29"
"SH","603939","益丰药房","","603939.SS","SH603939","sh","","F52零售业; index_source=zz500; index_update=2026-06-29"
"SH","603979","金诚信","","603979.SS","SH603979","sh","","B11开采专业及辅助性活动; index_source=zz500; index_update=2026-06-29"
"SH","605358","立昂微","","605358.SS","SH605358","sh","","C39计算机、通信和其他电子设备制造业; index_source=zz500; index_update=2026-06-29"
"SH","605589","圣泉集团","","605589.SS","SH605589","sh","","C26化学原料和化学制品制造业; index_source=zz500; index_update=2026-06-29"
"SZ","000009","中国宝安","","000009.SZ","SZ000009","sz","","J69其他金融业; index_source=zz500; index_update=2026-06-29"
"SZ","000027","深圳能源","","000027.SZ","SZ000027","sz","","D44电力、热力生产和供应业; index_source=zz500; index_update=2026-06-29"
"SZ","000032","深桑达A","","000032.SZ","SZ000032","sz","","E49建筑安装业; index_source=zz500; index_update=2026-06-29"
"SZ","000034","神州数码","","000034.SZ","SZ000034","sz","","F51批发业; index_source=zz500; index_update=2026-06-29"
"SZ","000039","中集集团","","000039.SZ","SZ000039","sz","","C33金属制品业; index_source=zz500; index_update=2026-06-29"
"SZ","000050","深天马A","","000050.SZ","SZ000050","sz","","C39计算机、通信和其他电子设备制造业; index_source=zz500; index_update=2026-06-29"
"SZ","000060","中金岭南","","000060.SZ","SZ000060","sz","","C32有色金属冶炼和压延加工业; index_source=zz500; index_update=2026-06-29"
"SZ","000062","深圳华强","","000062.SZ","SZ000062","sz","","F51批发业; index_source=zz500; index_update=2026-06-29"
"SZ","000088","盐田港","","000088.SZ","SZ000088","sz","","G55水上运输业; index_source=zz500; index_update=2026-06-29"
"SZ","000155","川能动力","","000155.SZ","SZ000155","sz","","D44电力、热力生产和供应业; index_source=zz500; index_update=2026-06-29"
"SZ","000400","许继电气","","000400.SZ","SZ000400","sz","","C38电气机械和器材制造业; index_source=zz500; index_update=2026-06-29"
"SZ","000415","渤海租赁","","000415.SZ","SZ000415","sz","","L71租赁业; index_source=zz500; index_update=2026-06-29"
"SZ","000423","东阿阿胶","","000423.SZ","SZ000423","sz","","C27医药制造业; index_source=zz500; index_update=2026-06-29"
"SZ","000429","粤高速A","","000429.SZ","SZ000429","sz","","G54道路运输业; index_source=zz500; index_update=2026-06-29"
"SZ","000513","丽珠集团","","000513.SZ","SZ000513","sz","","C27医药制造业; index_source=zz500; index_update=2026-06-29"
"SZ","000519","中兵红箭","","000519.SZ","SZ000519","sz","","C35专用设备制造业; index_source=zz500; index_update=2026-06-29"
